Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3524709;Interior;Jaguariúna;2,78E+03;6,02E+01;9,98E+03;1,97E+02
3524808;Interior;Jales;5,25E+03;1,50E+02;1,03E+04;4,32E+02
3524907;Interior;Jambeiro;1,88E+03;8,05E+01;4,89E+03;1,29E+02
3525003;RMSP (exceto capital);Jandira;1,97E+03;9,14E+01;4,69E+03;1,80E+02
3525102;Interior;Jardinópolis;2,66E+03;1,24E+02;7,22E+03;2,07E+02
3525201;Interior;Jarinu;2,05E+03;9,05E+01;8,37E+03;1,71E+02
3525300;Interior;Jaú;2,94E+03;6,64E+01;6,66E+03;3,10E+02
3525409;Interior;Jeriquara;2,26E+03;0,00E+00;9,04E+03;9,55E+01
3525508;Interior;Joanópolis;1,52E+03;2,37E+01;8,18E+03;3,16E+01
3525607;Interior;João Ramalho;3,15E+03;9,12E+01;1,20E+04;1,82E+02
3525706;Interior;José Bonifácio;4,73E+03;7,50E+01;1,20E+04;3,42E+02
3525805;Interior;Júlio Mesquita;9,70E+02;4,31E+01;6,42E+03;2,59E+02
3525854;Interior;Jumirim;3,69E+03;3,02E+01;1,26E+04;2,12E+02
3525904;Interior;Jundiaí;4,31E+03;1,19E+02;9,32E+03;2,78E+02
3526001;Interior;Junqueirópolis;1,65E+03;4,98E+01;9,61E+03;4,24E+02
3526100;Interior;Juquiá;3,15E+03;7,97E+01;7,62E+03;2,55E+02
3526209;RMSP (exceto capital);Juquitiba;4,26E+03;5,92E+01;1,62E+03;1,94E+02
3526308;Interior;Lagoinha;1,60E+03;2,08E+01;3,40E+03;3,11E+02
3526407;Interior;Laranjal Paulista;3,76E+03;3,23E+01;1,30E+04;3,95E+02
3526506;Interior;Lavínia;5,60E+03;4,71E+01;5,53E+03;1,53E+02
3526605;Interior;Lavrinhas;1,28E+03;1,40E+01;3,47E+03;5,58E+01
3526704;Interior;Leme;3,25E+03;8,42E+01;1,08E+04;3,40E+02
3526803;Interior;Lençóis Paulista;5,78E+03;8,14E+01;1,28E+04;1,99E+02
3526902;Interior;Limeira;3,68E+03;9,75E+01;5,77E+03;2,99E+02
3527009;Interior;Lindóia;1,66E+03;5,18E+01;9,48E+03;1,68E+02
3527108;Interior;Lins;4,59E+03;7,32E+01;8,33E+03;3,18E+02
3527207;Interior;Lorena;1,74E+03;3,92E+01;4,49E+03;1,26E+02
3527256;Interior;Lourdes;3,16E+03;4,58E+01;1,05E+04;2,29E+02
3527306;Interior;Louveira;2,51E+03;5,80E+01;8,79E+03;1,66E+02
3527405;Interior;Lucélia;6,57E+02;3,33E+01;8,69E+03;2,52E+02
3527504;Interior;Lucianópolis;6,63E+02;0,00E+00;1,47E+04;2,65E+02
3527603;Interior;Luís Antônio;2,75E+03;7,06E+01;1,25E+04;1,76E+02
3527702;Interior;Luiziânia;1,88E+03;3,48E+01;3,22E+03;1,56E+02
3527801;Interior;Lupércio;1,24E+03;0,00E+00;4,82E+03;1,81E+02
3527900;Interior;Lutécia;4,20E+02;0,00E+00;8,39E+03;2,29E+02
3528007;Interior;Macatuba;6,59E+03;7,68E+01;1,02E+04;2,78E+02
